author,name,year,genres,isRead,series,seriesOrder,isOnShelf,fieldOfStudy,shelf,inProgress,isWishlist,isPlan2026
Мария Вой,Сиротки. Отцеубийцы,2007,,FALSE,Сиротки,2,TRUE,,роментези,FALSE,TRUE,FALSE
Фрэнсис Кель,Песнь Сорокопута ,2006,,FALSE,Песнь Сорокопута,1,TRUE,,роментези,FALSE,,FALSE
Фрэнсис Кель,Песнь Сорокопута. Ренессанс ,2008,,FALSE,Песнь Сорокопута,2,TRUE,,роментези,FALSE,,FALSE
Алекс Анжело,Сон и пепел,2005,,FALSE,Мир Дэвлата,2,TRUE,,роментези,FALSE,,FALSE
Алекс Анжело,Кровь и плен,1992,,FALSE,Мир Дэвлата,1,TRUE,,старьёвщик,FALSE,,FALSE
Антуан де СентЭкзюпери,Маленький принц,1990,,TRUE,,,TRUE,,старьёвщик,FALSE,,FALSE
Джим Батчер,Гроза из преисподней. Луна светит безумцам. Могила в подарок,1990,,FALSE,Досье Дрездена,"первая, вторая, третья",TRUE,,старьёвщик,FALSE,,FALSE
Дженнифер Линн Барнс,Игры наследников,2023,,TRUE,Игры наследников,1,FALSE,,,FALSE,,FALSE
Киран Миллвуд Харгрейв,Милосердные ,1992,,TRUE,,,TRUE,,фентезятина,FALSE,,FALSE
Рина Рид,Невидимый мир ,2023,,FALSE,,,FALSE,,,FALSE,,FALSE
Холли Джексон,Хороших девочек не убивают,2025,,TRUE,Хороших девочек не убивают,1,FALSE,,,FALSE,,FALSE
Холли Джексон,"Хорошая девочка, дурная кровь",2023,,FALSE,Хороших девочек не убивают,2,FALSE,,,FALSE,,FALSE
Холли Джексон,Хорошая девочка должна умереть,2018,,FALSE,Хороших девочек не убивают,3,TRUE,английский,HP,FALSE,TRUE,FALSE
Карен М. Макманус,Кузены ,2018,,FALSE,,,TRUE,английский,HP,FALSE,,FALSE
Карен М. Макманус,Один из нас лжёт ,2018,,TRUE,Один из нас лжет,1,TRUE,английский,HP,TRUE,,FALSE
Сюзанна Кэхалан,Разум в огне. Месяц моего безумия,1996,,TRUE,,,FALSE,английский,wheely,FALSE,,FALSE
Анна Быкова,школьники ленивой мамы ,2003,,TRUE,,,FALSE,английский,wheely,FALSE,,FALSE
Ольга Дулепина,"Больше двух. Полиамория, открытые отношения, альтернативная любовь",2005,,TRUE,,,FALSE,английский,wheely,FALSE,,FALSE
Шон Байтелл,"Семь типов людей, которых можно встретить в книжном магазине",1994,,TRUE,,,FALSE,английский,wheely,FALSE,,FALSE
Дональд Миллер,Страшно близко. Как перестать притворяться и решиться на настоящую близость,1998,,FALSE,,,FALSE,английский,wheely,FALSE,,FALSE
Татьяна Романова,Рабочая тетрадь владельца собаки ,1991,,FALSE,,,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Клинок убийцы ,1990,,FALSE,Стеклянный трон,сборник,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Стеклянный трон ,1993,,FALSE,Стеклянный трон,1,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Корона полуночи ,1990,,FALSE,Стеклянный трон,2,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Наследница огня,1998,,FALSE,Стеклянный трон,3,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Королева теней ,1992,,FALSE,Стеклянный трон,4,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Империя бурь,2000,,FALSE,Стеклянный трон,5,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Башня рассвета ,2013,,FALSE,Стеклянный трон,6,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Королевство пепла,2009,,FALSE,Стеклянный трон,7,FALSE,английский,wheely,FALSE,,FALSE
Сара Маас,Город Полумесяца. Дом Земли и Крови,2010,,FALSE,Город Полумесяца,1,FALSE,английский,wheely,FALSE,,FALSE
